Geography,Date,Cumulative Deaths,Total Deaths Per 100000 (age-adjusted),Death Data As Of
United States,Oct 29 2022,1068010,267.1,Feb 27 2025
United States,Oct 22 2022,1065767,266.5,Feb 27 2025
United States,Oct 15 2022,1063533,266,Feb 27 2025
United States,Oct  8 2022,1061383,265.4,Feb 27 2025
United States,Oct  1 2022,1059187,264.9,Feb 27 2025
United States,Sep 24 2022,1056808,264.3,Feb 27 2025
United States,Sep 17 2022,1054258,263.6,Feb 27 2025
United States,Sep 10 2022,1051738,263,Feb 27 2025
United States,Sep  3 2022,1048928,262.3,Feb 27 2025
United States,Aug 27 2022,1045993,261.5,Feb 27 2025
United States,Aug 20 2022,1042942,260.8,Feb 27 2025
United States,Aug 13 2022,1039770,260,Feb 27 2025
United States,Aug  6 2022,1036484,259.1,Feb 27 2025
United States,Jul 30 2022,1033111,258.3,Feb 27 2025
United States,Jul 23 2022,1029700,257.4,Feb 27 2025
United States,Jul 16 2022,1026469,256.6,Feb 27 2025
United States,Jul  9 2022,1023534,255.9,Feb 27 2025
United States,Jul  2 2022,1020929,255.2,Feb 27 2025
United States,Jun 25 2022,1018507,254.6,Feb 27 2025
United States,Jun 18 2022,1016177,254,Feb 27 2025
United States,Jun 11 2022,1013981,253.4,Feb 27 2025
United States,Jun  4 2022,1011840,252.9,Feb 27 2025
United States,May 28 2022,1009832,252.4,Feb 27 2025
United States,May 21 2022,1007883,251.9,Feb 27 2025
United States,May 14 2022,1006138,251.4,Feb 27 2025
United States,May  7 2022,1004461,251,Feb 27 2025
United States,Apr 30 2022,1003028,250.7,Feb 27 2025
United States,Apr 23 2022,1001600,250.3,Feb 27 2025
United States,Apr 16 2022,1000254,249.9,Feb 27 2025
United States,Apr  9 2022,998843,249.6,Feb 27 2025
United States,Apr  2 2022,997290,249.2,Feb 27 2025
United States,Mar 26 2022,995381,248.7,Feb 27 2025
United States,Mar 19 2022,992876,248.1,Feb 27 2025
United States,Mar 12 2022,989747,247.3,Feb 27 2025
United States,Mar  5 2022,985341,246.2,Feb 27 2025
United States,Feb 26 2022,979300,244.8,Feb 27 2025
United States,Feb 19 2022,971008,242.7,Feb 27 2025
United States,Feb 12 2022,959442,239.8,Feb 27 2025
United States,Feb  5 2022,944123,236.1,Feb 27 2025
United States,Jan 29 2022,925365,231.4,Feb 27 2025
United States,Jan 22 2022,904397,226.2,Feb 27 2025
United States,Jan 15 2022,883060,220.8,Feb 27 2025
United States,Jan  8 2022,863980,216.1,Feb 27 2025
United States,Jan  1 2022,848853,212.3,Feb 27 2025
United States,Dec 25 2021,837175,209.4,Feb 27 2025
United States,Dec 18 2021,826717,206.8,Feb 27 2025
United States,Dec 11 2021,816467,204.2,Feb 27 2025
United States,Dec  4 2021,806733,201.8,Feb 27 2025
United States,Nov 27 2021,797952,199.6,Feb 27 2025
United States,Nov 20 2021,790066,197.6,Feb 27 2025
United States,Nov 13 2021,782756,195.8,Feb 27 2025
United States,Nov  6 2021,775597,194,Feb 27 2025
United States,Oct 30 2021,768310,192.2,Feb 27 2025
United States,Oct 23 2021,760350,190.2,Feb 27 2025
United States,Oct 16 2021,751409,187.9,Feb 27 2025
United States,Oct  9 2021,741531,185.4,Feb 27 2025
United States,Oct  2 2021,730351,182.6,Feb 27 2025
United States,Sep 25 2021,717521,179.4,Feb 27 2025
United States,Sep 18 2021,703174,175.8,Feb 27 2025
United States,Sep 11 2021,687963,171.9,Feb 27 2025
United States,Sep  4 2021,672546,168,Feb 27 2025
United States,Aug 28 2021,657053,164.1,Feb 27 2025
United States,Aug 21 2021,642879,160.5,Feb 27 2025
United States,Aug 14 2021,630698,157.4,Feb 27 2025
United States,Aug  7 2021,621292,155,Feb 27 2025
United States,Jul 31 2021,614808,153.3,Feb 27 2025
United States,Jul 24 2021,610703,152.3,Feb 27 2025
United States,Jul 17 2021,607943,151.5,Feb 27 2025
United States,Jul 10 2021,605952,151.1,Feb 27 2025
United States,Jul  3 2021,604307,150.6,Feb 27 2025
United States,Jun 26 2021,602764,150.2,Feb 27 2025
United States,Jun 19 2021,601129,149.8,Feb 27 2025
United States,Jun 12 2021,599353,149.4,Feb 27 2025
United States,Jun  5 2021,597318,148.9,Feb 27 2025
United States,May 29 2021,594971,148.3,Feb 27 2025
United States,May 22 2021,592201,147.6,Feb 27 2025
United States,May 15 2021,588963,146.8,Feb 27 2025
United States,May  8 2021,585285,145.9,Feb 27 2025
United States,May  1 2021,581279,144.9,Feb 27 2025
United States,Apr 24 2021,577114,143.9,Feb 27 2025
United States,Apr 17 2021,572513,142.7,Feb 27 2025
United States,Apr 10 2021,568063,141.6,Feb 27 2025
United States,Apr  3 2021,563750,140.6,Feb 27 2025
United States,Mar 27 2021,559553,139.5,Feb 27 2025
United States,Mar 20 2021,555092,138.4,Feb 27 2025
United States,Mar 13 2021,550199,137.2,Feb 27 2025
United States,Mar  6 2021,544474,135.8,Feb 27 2025
United States,Feb 27 2021,537743,134.1,Feb 27 2025
United States,Feb 20 2021,529089,132,Feb 27 2025
United States,Feb 13 2021,518282,129.3,Feb 27 2025
United States,Feb  6 2021,504763,126,Feb 27 2025
United States,Jan 30 2021,487729,121.8,Feb 27 2025
United States,Jan 23 2021,467407,116.7,Feb 27 2025
United States,Jan 16 2021,443720,110.9,Feb 27 2025
United States,Jan  9 2021,418028,104.5,Feb 27 2025
United States,Jan  2 2021,392054,98,Feb 27 2025
United States,Dec 26 2020,367209,91.8,Feb 27 2025
United States,Dec 19 2020,343845,86,Feb 27 2025
United States,Dec 12 2020,321531,80.4,Feb 27 2025
United States,Dec  5 2020,300618,75.2,Feb 27 2025
United States,Nov 28 2020,282073,70.5,Feb 27 2025
United States,Nov 21 2020,266458,66.6,Feb 27 2025
United States,Nov 14 2020,253115,63.3,Feb 27 2025
