jurisdiction,date,cumulative_deaths,total_deaths_per_100000_(age-adjusted),death_data_as_of,sewershed_id,reporting_jurisdiction,county,population_served,current_virus_levels_in_wastewater_by_site_(in_%),percent_change_in_the_last_15_days,percent_of_wastewater_samples_with_detectable_virus,viral_activity_level
United States,2023-09-30,1148233,287.4,Feb 27 2025,,,,,,,,
United States,2023-09-23,1146777,287.0,Feb 27 2025,,,,,,,,
United States,2023-09-16,1145359,286.7,Feb 27 2025,,,,,,,,
United States,2023-09-09,1143949,286.3,Feb 27 2025,,,,,,,,
United States,2023-09-02,1142636,286.0,Feb 27 2025,,,,,,,,
United States,2023-08-26,1141449,285.7,Feb 27 2025,,,,,,,,
United States,2023-08-19,1140382,285.4,Feb 27 2025,,,,,,,,
United States,2023-08-12,1139461,285.2,Feb 27 2025,,,,,,,,
United States,2023-08-05,1138709,285.0,Feb 27 2025,,,,,,,,
United States,2023-07-29,1138036,284.8,Feb 27 2025,,,,,,,,
United States,2023-07-22,1137483,284.7,Feb 27 2025,,,,,,,,
United States,2023-07-15,1136943,284.5,Feb 27 2025,,,,,,,,
United States,2023-07-08,1136433,284.4,Feb 27 2025,,,,,,,,
United States,2023-07-01,1135941,284.3,Feb 27 2025,,,,,,,,
United States,2023-06-24,1135399,284.1,Feb 27 2025,,,,,,,,
United States,2023-06-17,1134816,284.0,Feb 27 2025,,,,,,,,
United States,2023-06-10,1134204,283.8,Feb 27 2025,,,,,,,,
United States,2023-06-03,1133571,283.7,Feb 27 2025,,,,,,,,
United States,2023-05-27,1132878,283.5,Feb 27 2025,,,,,,,,
United States,2023-05-20,1132136,283.3,Feb 27 2025,,,,,,,,
United States,2023-05-13,1131378,283.1,Feb 27 2025,,,,,,,,
United States,2023-05-06,1130540,282.9,Feb 27 2025,,,,,,,,
United States,2023-04-29,1129594,282.7,Feb 27 2025,,,,,,,,
United States,2023-04-22,1128567,282.4,Feb 27 2025,,,,,,,,
United States,2023-04-15,1127370,282.1,Feb 27 2025,,,,,,,,
United States,2023-04-08,1126153,281.8,Feb 27 2025,,,,,,,,
United States,2023-04-01,1124780,281.5,Feb 27 2025,,,,,,,,
United States,2023-03-25,1123331,281.1,Feb 27 2025,,,,,,,,
United States,2023-03-18,1121663,280.7,Feb 27 2025,,,,,,,,
United States,2023-03-11,1119902,280.2,Feb 27 2025,,,,,,,,
United States,2023-03-04,1118053,279.8,Feb 27 2025,,,,,,,,
United States,2023-02-25,1116053,279.2,Feb 27 2025,,,,,,,,
United States,2023-02-18,1113900,278.7,Feb 27 2025,,,,,,,,
United States,2023-02-11,1111799,278.2,Feb 27 2025,,,,,,,,
United States,2023-02-04,1109452,277.6,Feb 27 2025,,,,,,,,
United States,2023-01-28,1106810,276.9,Feb 27 2025,,,,,,,,
United States,2023-01-21,1103896,276.2,Feb 27 2025,,,,,,,,
United States,2023-01-14,1100638,275.3,Feb 27 2025,,,,,,,,
United States,2023-01-07,1096950,274.4,Feb 27 2025,,,,,,,,
United States,2022-12-31,1093079,273.4,Feb 27 2025,,,,,,,,
United States,2022-12-24,1089408,272.5,Feb 27 2025,,,,,,,,
United States,2022-12-17,1086075,271.7,Feb 27 2025,,,,,,,,
United States,2022-12-10,1082869,270.9,Feb 27 2025,,,,,,,,
United States,2022-12-03,1079833,270.1,Feb 27 2025,,,,,,,,
United States,2022-11-26,1077235,269.4,Feb 27 2025,,,,,,,,
United States,2022-11-19,1074733,268.8,Feb 27 2025,,,,,,,,
United States,2022-11-12,1072467,268.2,Feb 27 2025,,,,,,,,
United States,2022-11-05,1070264,267.7,Feb 27 2025,,,,,,,,
United States,2022-10-29,1068010,267.1,Feb 27 2025,,,,,,,,
United States,2022-10-22,1065767,266.5,Feb 27 2025,,,,,,,,
United States,2022-10-15,1063533,266.0,Feb 27 2025,,,,,,,,
United States,2022-10-08,1061383,265.4,Feb 27 2025,,,,,,,,
United States,2022-10-01,1059187,264.9,Feb 27 2025,,,,,,,,
United States,2022-09-24,1056808,264.3,Feb 27 2025,,,,,,,,
United States,2022-09-17,1054258,263.6,Feb 27 2025,,,,,,,,
United States,2022-09-10,1051738,263.0,Feb 27 2025,,,,,,,,
United States,2022-09-03,1048928,262.3,Feb 27 2025,,,,,,,,
United States,2022-08-27,1045993,261.5,Feb 27 2025,,,,,,,,
United States,2022-08-20,1042942,260.8,Feb 27 2025,,,,,,,,
United States,2022-08-13,1039770,260.0,Feb 27 2025,,,,,,,,
United States,2022-08-06,1036484,259.1,Feb 27 2025,,,,,,,,
United States,2022-07-30,1033111,258.3,Feb 27 2025,,,,,,,,
United States,2022-07-23,1029700,257.4,Feb 27 2025,,,,,,,,
United States,2022-07-16,1026469,256.6,Feb 27 2025,,,,,,,,
United States,2022-07-09,1023534,255.9,Feb 27 2025,,,,,,,,
United States,2022-07-02,1020929,255.2,Feb 27 2025,,,,,,,,
United States,2022-06-25,1018507,254.6,Feb 27 2025,,,,,,,,
United States,2022-06-18,1016177,254.0,Feb 27 2025,,,,,,,,
United States,2022-06-11,1013981,253.4,Feb 27 2025,,,,,,,,
United States,2022-06-04,1011840,252.9,Feb 27 2025,,,,,,,,
United States,2022-05-28,1009832,252.4,Feb 27 2025,,,,,,,,
United States,2022-05-21,1007883,251.9,Feb 27 2025,,,,,,,,
United States,2022-05-14,1006138,251.4,Feb 27 2025,,,,,,,,
United States,2022-05-07,1004461,251.0,Feb 27 2025,,,,,,,,
United States,2022-04-30,1003028,250.7,Feb 27 2025,,,,,,,,
United States,2022-04-23,1001600,250.3,Feb 27 2025,,,,,,,,
United States,2022-04-16,1000254,249.9,Feb 27 2025,,,,,,,,
United States,2022-04-09,998843,249.6,Feb 27 2025,,,,,,,,
United States,2022-04-02,997290,249.2,Feb 27 2025,,,,,,,,
United States,2022-03-26,995381,248.7,Feb 27 2025,,,,,,,,
United States,2022-03-19,992876,248.1,Feb 27 2025,,,,,,,,
United States,2022-03-12,989747,247.3,Feb 27 2025,,,,,,,,
United States,2022-03-05,985341,246.2,Feb 27 2025,,,,,,,,
United States,2022-02-26,979300,244.8,Feb 27 2025,,,,,,,,
United States,2022-02-19,971008,242.7,Feb 27 2025,,,,,,,,
United States,2022-02-12,959442,239.8,Feb 27 2025,,,,,,,,
United States,2022-02-05,944123,236.1,Feb 27 2025,,,,,,,,
United States,2022-01-29,925365,231.4,Feb 27 2025,,,,,,,,
United States,2022-01-22,904397,226.2,Feb 27 2025,,,,,,,,
United States,2022-01-15,883060,220.8,Feb 27 2025,,,,,,,,
United States,2022-01-08,863980,216.1,Feb 27 2025,,,,,,,,
United States,2022-01-01,848853,212.3,Feb 27 2025,,,,,,,,
United States,2021-12-25,837175,209.4,Feb 27 2025,,,,,,,,
United States,2021-12-18,826717,206.8,Feb 27 2025,,,,,,,,
United States,2021-12-11,816467,204.2,Feb 27 2025,,,,,,,,
United States,2021-12-04,806733,201.8,Feb 27 2025,,,,,,,,
United States,2021-11-27,797952,199.6,Feb 27 2025,,,,,,,,
United States,2021-11-20,790066,197.6,Feb 27 2025,,,,,,,,
United States,2021-11-13,782756,195.8,Feb 27 2025,,,,,,,,
United States,2021-11-06,775597,194.0,Feb 27 2025,,,,,,,,
United States,2021-10-30,768310,192.2,Feb 27 2025,,,,,,,,
United States,2021-10-23,760350,190.2,Feb 27 2025,,,,,,,,
United States,2021-10-16,751409,187.9,Feb 27 2025,,,,,,,,
United States,2021-10-09,741531,185.4,Feb 27 2025,,,,,,,,
United States,2021-10-02,730351,182.6,Feb 27 2025,,,,,,,,
United States,2021-09-25,717521,179.4,Feb 27 2025,,,,,,,,
United States,2021-09-18,703174,175.8,Feb 27 2025,,,,,,,,
United States,2021-09-11,687963,171.9,Feb 27 2025,,,,,,,,
United States,2021-09-04,672546,168.0,Feb 27 2025,,,,,,,,
United States,2021-08-28,657053,164.1,Feb 27 2025,,,,,,,,
United States,2021-08-21,642879,160.5,Feb 27 2025,,,,,,,,
United States,2021-08-14,630698,157.4,Feb 27 2025,,,,,,,,
United States,2021-08-07,621292,155.0,Feb 27 2025,,,,,,,,
United States,2021-07-31,614808,153.3,Feb 27 2025,,,,,,,,
United States,2021-07-24,610703,152.3,Feb 27 2025,,,,,,,,
United States,2021-07-17,607943,151.5,Feb 27 2025,,,,,,,,
United States,2021-07-10,605952,151.1,Feb 27 2025,,,,,,,,
United States,2021-07-03,604307,150.6,Feb 27 2025,,,,,,,,
United States,2021-06-26,602764,150.2,Feb 27 2025,,,,,,,,
United States,2021-06-19,601129,149.8,Feb 27 2025,,,,,,,,
United States,2021-06-12,599353,149.4,Feb 27 2025,,,,,,,,
United States,2021-06-05,597318,148.9,Feb 27 2025,,,,,,,,
United States,2021-05-29,594971,148.3,Feb 27 2025,,,,,,,,
